nomor_struk,tgl_transaksi,kode_produk,nama_produk,jumlah_terjual,harga,total_nilai
INV-00000018,01-02-2025,PSUDAP,Pisau Dapur Stainless,1,55000,55000
INV-00000019,01-02-2025,WDHMA K,Wadah Penyimpanan Makanan,3,78000,234000
INV-00000019,01-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00000019,01-02-2025,SPKBT,Speaker Bluetooth Portabel,5,98500,492500
INV-00000020,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000020,01-02-2025,KBLCHG,Kabel Data Fast Charge,4,59000,236000
INV-00000020,01-02-2025,BTLPLT,Botol Minum Plastik,2,47000,94000
INV-00000020,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000020,01-02-2025,SUFORA,Susu Formula Anak (Box),2,57000,114000
INV-00000020,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000020,01-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00000020,01-02-2025,MIEIN5,Mi Instan (Isi 5),7,19000,133000
INV-00000020,01-02-2025,TPTRG1,Tepung Terigu 1kg,6,10500,63000
INV-00000021,01-02-2025,SHPSAC,Shampo Sachet,1,17500,17500
INV-00000021,01-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00000021,01-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00000021,01-02-2025,SNKKPT,Snack Keripik Kentang,1,20500,20500
INV-00000021,01-02-2025,LED15W,Lampu LED Rumah 15W,4,63000,252000
INV-00000021,01-02-2025,KOPIAR,Kopi Bubuk Arabika 250g,1,58500,58500
INV-00000021,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000022,01-02-2025,KBLCHG,Kabel Data Fast Charge,6,59000,354000
INV-00000022,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000022,01-02-2025,TASBLJ,Tas Belanja Reusable,1,77000,77000
INV-00000022,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000022,01-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00000023,01-02-2025,SLCOKA,Selai Coklat Kacang,1,58500,58500
INV-00000023,01-02-2025,STRIKA,Setrika Listrik Standar,3,99500,298500
INV-00000023,01-02-2025,TRMS50,Termos Air Panas 500ml,3,81000,243000
INV-00000023,01-02-2025,HDPCON,Headphone Kabel Standar,7,97500,682500
INV-00000023,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000023,01-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00000023,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000023,01-02-2025,CPL2L,Cairan Pembersih Lantai 2L,6,27500,165000
INV-00000023,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000024,01-02-2025,PSGIGI,Pasta Gigi Pack Besar,3,23500,70500
INV-00000024,01-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00000024,01-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00000024,01-02-2025,TEKOLT,Teko Listrik,1,89000,89000
INV-00000024,01-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00000024,01-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00000024,01-02-2025,RAKP3S,Rak Plastik Susun 3,5,79500,397500
INV-00000024,01-02-2025,SLCOKA,Selai Coklat Kacang,2,58500,117000
INV-00000024,01-02-2025,MARGRN,Margarin Serbaguna,4,18000,72000
INV-00000025,01-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00000026,01-02-2025,MSWRLS,Mouse Wireless,2,75000,150000
INV-00000026,01-02-2025,MARGRN,Margarin Serbaguna,7,18000,126000
INV-00000027,01-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00000027,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000027,01-02-2025,CLglass,Pembersih Kaca Cair,7,27500,192500
INV-00000027,01-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00000027,01-02-2025,KSETAS,Keset Kaki Anti-Slip,2,70000,140000
INV-00000027,01-02-2025,TISWJH,Tisu Wajah Pack Ganda,4,32500,130000
INV-00000027,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000027,01-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00000027,01-02-2025,KOPIAR,Kopi Bubuk Arabika 250g,1,58500,58500
INV-00000028,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000028,01-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00000028,01-02-2025,CPL2L,Cairan Pembersih Lantai 2L,7,27500,192500
INV-00000028,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000028,01-02-2025,TPTRG1,Tepung Terigu 1kg,6,10500,63000
INV-00000028,01-02-2025,MSKMED,Masker Medis (1 Box),3,52500,157500
INV-00000029,01-02-2025,PMTPAK,Pemutih Pakaian 1L,1,31000,31000
INV-00000029,01-02-2025,TISWJH,Tisu Wajah Pack Ganda,1,32500,32500
INV-00000029,01-02-2025,GRMDAP,Garam Dapur (3 Pack),7,10500,73500
INV-00000029,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000029,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000029,01-02-2025,LED15W,Lampu LED Rumah 15W,4,63000,252000
INV-00000029,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000029,01-02-2025,MSWRLS,Mouse Wireless,5,75000,375000
INV-00000030,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000030,01-02-2025,PANTEF,Panci Teflon Kecil,2,81500,163000
INV-00000030,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000030,01-02-2025,KOPIAR,Kopi Bubuk Arabika 250g,1,58500,58500
INV-00000030,01-02-2025,PSGIGI,Pasta Gigi Pack Besar,2,23500,47000
INV-00000030,01-02-2025,MSWRLS,Mouse Wireless,2,75000,150000
INV-00000030,01-02-2025,SNKKPT,Snack Keripik Kentang,3,20500,61500
INV-00000030,01-02-2025,MSKMED,Masker Medis (1 Box),3,52500,157500
INV-00000030,01-02-2025,DEOSPR,Deodoran Spray,4,49500,198000
INV-00000031,01-02-2025,KIPASM,Kipas Angin Meja Kecil,2,49500,99000
INV-00000031,01-02-2025,MSKMED,Masker Medis (1 Box),2,52500,105000
INV-00000031,01-02-2025,TPTRG1,Tepung Terigu 1kg,4,10500,42000
INV-00000031,01-02-2025,PSGIGI,Pasta Gigi Pack Besar,2,23500,47000
INV-00000031,01-02-2025,MIEIN5,Mi Instan (Isi 5),1,19000,19000
INV-00000031,01-02-2025,HNDKMD,Handuk Mandi Sedang,1,42000,42000
INV-00000031,01-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00000031,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000031,01-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00000031,01-02-2025,MSWRLS,Mouse Wireless,3,75000,225000
INV-00000032,01-02-2025,GULP2K,Gula Pasir 2kg,2,44500,89000
INV-00000032,01-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00000032,01-02-2025,KBLCHG,Kabel Data Fast Charge,8,59000,472000
INV-00000032,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000032,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000032,01-02-2025,CPL2L,Cairan Pembersih Lantai 2L,1,27500,27500
INV-00000032,01-02-2025,SPONCP,Spons Cuci Piring,1,26500,26500
INV-00000032,01-02-2025,MSKMED,Masker Medis (1 Box),1,52500,52500
INV-00000033,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000033,01-02-2025,DISF1L,Cairan Disinfektan 1L,1,60500,60500
INV-00000033,01-02-2025,MARGRN,Margarin Serbaguna,6,18000,108000
INV-00000033,01-02-2025,KSETAS,Keset Kaki Anti-Slip,3,70000,210000
INV-00000033,01-02-2025,TISWJH,Tisu Wajah Pack Ganda,1,32500,32500
INV-00000033,01-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00000033,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000033,01-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00000033,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000033,01-02-2025,PSGIGI,Pasta Gigi Pack Besar,1,23500,23500
INV-00000034,01-02-2025,SPONCP,Spons Cuci Piring,3,26500,79500
INV-00000034,01-02-2025,PANTEF,Panci Teflon Kecil,2,81500,163000
INV-00000034,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000034,01-02-2025,PSGIGI,Pasta Gigi Pack Besar,1,23500,23500
INV-00000034,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000034,01-02-2025,MADUHA,Madu Hutan Asli,1,36000,36000
INV-00000034,01-02-2025,PHRUMH,Pengharum Ruangan,1,54000,54000
INV-00000035,01-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00000035,01-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00000035,01-02-2025,CPL2L,Cairan Pembersih Lantai 2L,4,27500,110000
INV-00000035,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000035,01-02-2025,KBLCHG,Kabel Data Fast Charge,9,59000,531000
INV-00000035,01-02-2025,KSETAS,Keset Kaki Anti-Slip,4,70000,280000
INV-00000036,01-02-2025,TISWJH,Tisu Wajah Pack Ganda,4,32500,130000
INV-00000037,01-02-2025,KBLCHG,Kabel Data Fast Charge,1,59000,59000
INV-00000037,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000037,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000037,01-02-2025,GULP2K,Gula Pasir 2kg,1,44500,44500
INV-00000037,01-02-2025,MADUHA,Madu Hutan Asli,1,36000,36000
INV-00000037,01-02-2025,MARGRN,Margarin Serbaguna,5,18000,90000
INV-00000038,01-02-2025,TRMS50,Termos Air Panas 500ml,3,81000,243000
INV-00000038,01-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00000038,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000039,01-02-2025,MARGRN,Margarin Serbaguna,4,18000,72000
INV-00000040,01-02-2025,PWBNK5,Powerbank 5000mAh,4,97500,390000
INV-00000040,01-02-2025,BATAA4,Baterai AA (Isi 4),1,15500,15500
INV-00000040,01-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00000040,01-02-2025,MARGRN,Margarin Serbaguna,3,18000,54000
INV-00000040,01-02-2025,PSUDAP,Pisau Dapur Stainless,2,55000,110000
INV-00000040,01-02-2025,GRMDAP,Garam Dapur (3 Pack),6,10500,63000
INV-00000040,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000040,01-02-2025,SNKKPT,Snack Keripik Kentang,3,20500,61500
INV-00000040,01-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00000040,01-02-2025,KBLCHG,Kabel Data Fast Charge,5,59000,295000
INV-00000041,01-02-2025,SNKKPT,Snack Keripik Kentang,2,20500,41000
INV-00000041,01-02-2025,PANTEF,Panci Teflon Kecil,2,81500,163000
INV-00000041,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000041,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000041,01-02-2025,GRMDAP,Garam Dapur (3 Pack),3,10500,31500
INV-00000041,01-02-2025,KOPIAR,Kopi Bubuk Arabika 250g,2,58500,117000
INV-00000041,01-02-2025,SPONCP,Spons Cuci Piring,1,26500,26500
INV-00000041,01-02-2025,BATAA4,Baterai AA (Isi 4),1,15500,15500
INV-00000041,01-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00000041,01-02-2025,PSUDAP,Pisau Dapur Stainless,1,55000,55000
INV-00000042,01-02-2025,MARGRN,Margarin Serbaguna,6,18000,108000
INV-00000042,01-02-2025,TLR05K,Telur Ayam (Setengah Kg),3,16500,49500
INV-00000042,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000042,01-02-2025,CLglass,Pembersih Kaca Cair,1,27500,27500
INV-00000042,01-02-2025,KSETAS,Keset Kaki Anti-Slip,1,70000,70000
INV-00000042,01-02-2025,MSWRLS,Mouse Wireless,5,75000,375000
INV-00000042,01-02-2025,PANTEF,Panci Teflon Kecil,2,81500,163000
INV-00000042,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000042,01-02-2025,TEKOLT,Teko Listrik,1,89000,89000
INV-00000043,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000043,01-02-2025,PYGLPT,Payung Lipat Standar,5,40000,200000
INV-00000043,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000043,01-02-2025,TRMS50,Termos Air Panas 500ml,1,81000,81000
INV-00000043,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000043,01-02-2025,KOPIAR,Kopi Bubuk Arabika 250g,2,58500,117000
INV-00000043,01-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00000043,01-02-2025,MARGRN,Margarin Serbaguna,2,18000,36000
INV-00000043,01-02-2025,VITC30,Vitamin C (Botol Isi 30),3,58000,174000
INV-00000043,01-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00000044,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000045,01-02-2025,MSWRLS,Mouse Wireless,1,75000,75000
INV-00000046,01-02-2025,LED15W,Lampu LED Rumah 15W,5,63000,315000
INV-00000046,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000046,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000046,01-02-2025,SUFORA,Susu Formula Anak (Box),2,57000,114000
INV-00000046,01-02-2025,TEKOLT,Teko Listrik,1,89000,89000
INV-00000046,01-02-2025,SHPSAC,Shampo Sachet,2,17500,35000
INV-00000047,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000047,01-02-2025,TISWJH,Tisu Wajah Pack Ganda,5,32500,162500
INV-00000047,01-02-2025,GULP2K,Gula Pasir 2kg,1,44500,44500
INV-00000047,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000048,01-02-2025,KOPIAR,Kopi Bubuk Arabika 250g,2,58500,117000
INV-00000048,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000048,01-02-2025,SNKKPT,Snack Keripik Kentang,1,20500,20500
INV-00000048,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000048,01-02-2025,MARGRN,Margarin Serbaguna,6,18000,108000
INV-00000049,01-02-2025,MSKMED,Masker Medis (1 Box),1,52500,52500
INV-00000049,01-02-2025,SNKKPT,Snack Keripik Kentang,4,20500,82000
INV-00000049,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000050,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000050,01-02-2025,HNDKMD,Handuk Mandi Sedang,2,42000,84000
INV-00000050,01-02-2025,LED15W,Lampu LED Rumah 15W,3,63000,189000
INV-00000050,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000051,01-02-2025,ALMAKS,Set Alat Makan Stainless,4,64500,258000
INV-00000051,01-02-2025,TISWJH,Tisu Wajah Pack Ganda,4,32500,130000
INV-00000051,01-02-2025,SPONCP,Spons Cuci Piring,2,26500,53000
INV-00000051,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000051,01-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00000052,01-02-2025,MSWRLS,Mouse Wireless,4,75000,300000
INV-00000052,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000052,01-02-2025,SNKKPT,Snack Keripik Kentang,3,20500,61500
INV-00000052,01-02-2025,TLR05K,Telur Ayam (Setengah Kg),3,16500,49500
INV-00000052,01-02-2025,SLCOKA,Selai Coklat Kacang,1,58500,58500
INV-00000053,01-02-2025,PMTPAK,Pemutih Pakaian 1L,1,31000,31000
INV-00000053,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000054,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000054,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000054,01-02-2025,TISWJH,Tisu Wajah Pack Ganda,4,32500,130000
INV-00000054,01-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00000054,01-02-2025,RAKP3S,Rak Plastik Susun 3,2,79500,159000
INV-00000054,01-02-2025,BATAA4,Baterai AA (Isi 4),5,15500,77500
INV-00000054,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000055,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000055,01-02-2025,SNKKPT,Snack Keripik Kentang,1,20500,20500
INV-00000055,01-02-2025,BANTAL,Bantal Tidur Silikon,1,66500,66500
INV-00000056,01-02-2025,KBLCHG,Kabel Data Fast Charge,10,59000,590000
INV-00000056,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000057,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000057,01-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),2,11000,22000
INV-00000057,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000057,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000057,01-02-2025,KOSPLN,Kaos Polos Katun,2,53500,107000
INV-00000057,01-02-2025,PSUDAP,Pisau Dapur Stainless,1,55000,55000
INV-00000057,01-02-2025,BATAA4,Baterai AA (Isi 4),6,15500,93000
INV-00000058,01-02-2025,MARGRN,Margarin Serbaguna,5,18000,90000
INV-00000058,01-02-2025,JASHJN,Jas Hujan Plastik,3,70500,211500
INV-00000058,01-02-2025,SLCOKA,Selai Coklat Kacang,1,58500,58500
INV-00000058,01-02-2025,MADUHA,Madu Hutan Asli,2,36000,72000
INV-00000058,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000058,01-02-2025,SPONCP,Spons Cuci Piring,1,26500,26500
INV-00000058,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000058,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000058,01-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00000058,01-02-2025,MSWRLS,Mouse Wireless,3,75000,225000
INV-00000059,01-02-2025,SNKKPT,Snack Keripik Kentang,1,20500,20500
INV-00000059,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000059,01-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00000059,01-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00000060,01-02-2025,SLCOKA,Selai Coklat Kacang,1,58500,58500
INV-00000060,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000060,01-02-2025,CPL2L,Cairan Pembersih Lantai 2L,4,27500,110000
INV-00000061,01-02-2025,PYGLPT,Payung Lipat Standar,5,40000,200000
INV-00000061,01-02-2025,KOSPLN,Kaos Polos Katun,1,53500,53500
INV-00000061,01-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00000061,01-02-2025,KBLCHG,Kabel Data Fast Charge,5,59000,295000
INV-00000061,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000061,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
